nctId,status,studyType
NCT06474819,NOT_YET_RECRUITING,INTERVENTIONAL
NCT06480136,NOT_YET_RECRUITING,INTERVENTIONAL
NCT06476873,NOT_YET_RECRUITING,INTERVENTIONAL
NCT06472076,RECRUITING,INTERVENTIONAL
NCT06481475,NOT_YET_RECRUITING,INTERVENTIONAL
NCT06478953,RECRUITING,INTERVENTIONAL
NCT06476808,NOT_YET_RECRUITING,INTERVENTIONAL
NCT06472518,NOT_YET_RECRUITING,INTERVENTIONAL
NCT06473974,NOT_YET_RECRUITING,INTERVENTIONAL
NCT06476275,NOT_YET_RECRUITING,INTERVENTIONAL
NCT06473831,RECRUITING,INTERVENTIONAL
NCT06479616,RECRUITING,INTERVENTIONAL
NCT06481072,RECRUITING,INTERVENTIONAL
NCT06481137,RECRUITING,INTERVENTIONAL
NCT06471699,NOT_YET_RECRUITING,INTERVENTIONAL
NCT06471725,RECRUITING,INTERVENTIONAL
NCT06481033,NOT_YET_RECRUITING,INTERVENTIONAL
NCT06481176,NOT_YET_RECRUITING,INTERVENTIONAL
NCT06471322,NOT_YET_RECRUITING,INTERVENTIONAL
NCT06474507,NOT_YET_RECRUITING,INTERVENTIONAL
NCT06478524,RECRUITING,INTERVENTIONAL
NCT06476886,RECRUITING,INTERVENTIONAL
NCT06474442,NOT_YET_RECRUITING,INTERVENTIONAL
NCT06482541,NOT_YET_RECRUITING,INTERVENTIONAL
NCT06471569,NOT_YET_RECRUITING,INTERVENTIONAL
NCT06476756,RECRUITING,INTERVENTIONAL
NCT06476613,RECRUITING,INTERVENTIONAL
NCT06481228,NOT_YET_RECRUITING,INTERVENTIONAL
NCT06480747,NOT_YET_RECRUITING,INTERVENTIONAL
NCT06477393,NOT_YET_RECRUITING,INTERVENTIONAL
NCT06477055,NOT_YET_RECRUITING,INTERVENTIONAL
NCT06474546,NOT_YET_RECRUITING,INTERVENTIONAL
NCT06473779,NOT_YET_RECRUITING,INTERVENTIONAL
NCT06472492,RECRUITING,INTERVENTIONAL
NCT06478420,RECRUITING,INTERVENTIONAL
NCT06474403,RECRUITING,INTERVENTIONAL
